,Positive,Neutral,Negative
47,Hand sanitiser or hand washing – which is more effective against coronavirus? https://www.theguardian.com/world/2020/feb/28/hand-sanitiser-or-hand-washing-which-more-effective-against-coronavirus-covid-19?CMP=share_btn_tw …,GUIDELINES for the working of District Judiciary in Punjab from 01-06-2020 #Unlock #lockdown #coronavirus #COVID19Pakistan #courts #PunjabCoronavirusUpdate #Pakistan,One dead from coronavirus every 10 minutes in Iran as shortages forces medics to treat sick without masks https://www.independent.co.uk/news/world/middle-east/coronavirus-iran-update-death-toll-medical-shortages-facemasks-a9411416.html …
48,"#CoronaVirusUpdates
#coronavirususa
#coronavirusPakistan
#CoronavirusOutbreak

Wearing a mask will protect you from coronavirus? Here's the answer https://thenamal.com/featured/wearing-a-mask-will-protect-you-from-coronavirus-heres-the-answer/ …",On the Directions of President PPP District Central Zafar Ahmed & mine @HasanMuhajir4 &amp; his team fighting against Coronavirus @BBhuttoZardari @BakhtawarBZ @AseefaBZ @murtazawahab1,Coronavirus live news: more cases of ‘Covid-linked’ syndrome in children as UK deaths top Spain and France 
49,"U.S. Health Workers Responding to Coronavirus Lacked Training and Protective Gear, Whistle-Blower Says https://www.nytimes.com/2020/02/27/us/politics/coronavirus-us-whistleblower.html …",Saudia Arab KSA has imposed 1000 Saudi Riyal penalty for those who would be outside of home without mask. #coronavirus,"Pakistan begins colossal tree planting campaign - a staggering 10 billion trees will be planted starting now in order to combat climate change using 60,000 workers who have lost their jobs because of the coronavirus. "
50,2020 seems to me like sacred games in real life every day there is a new shit storm like yesterday night a bomb bla… https://t.co/TR36iv6WlN,WATCH: Restaurant in Lithuania displays mannequins to attract customers Follow our updates on #coronavirus here: http://dawn.com/live-blog/,Coronavirus BREAKTHROUGH: US officals say drug has ‘significant’ impact on virus https://taazakhaber.com/coronavirus-breakthrough-us-officals-say-drug-has-significant-impact-on-virus/
51,"RT @etribune: At least 50,056 #coronavirus patients have recovered in #Pakistan

https://t.co/7SmonFq3nj https://t.co/pLUyVBLClr",MNA Multan Malik Amir Doggar Corona Virus test positive. May he get well soon Ameen! ,I think corona virus is world war III.
52,"9,809 record corona patients recoverd in last 24 hrs in Pakistan..

#coronavirus
#COVID
#lockdown","Vaccine and coronavirus skeptics packed into a hotel for a conference over Memorial Day weekend, defying guidelines ",Indians are blaming muslims for corona virus you can imagine how much they hate muslims how extremists they are This is the ideology of RSS thier prime minister are supporting them #MuslimHolocaust
53,"50,000+ patients with CoViD-19 are now recovered in Pakistan. Alhamdulilah😍👏

#coronavirusinpakistan 
#coronavirus",Really appreciated the humanity act! #coronavirus #CoronavirusOutbreak https://twitter.com/VarmaPravitha/status/1222765655943856128/video/1,"#CORONAVIRUS update Thu 30th April World Coronavirus Cases: 3,205,726 Deaths: 227,290 Recovered 995,405 #Iran #Turkey #Malaysia #Philippines #Pakistan #SaudiArabia #indonesia #India #Qatar #Algeria #Egypt #Iraq #Morroco #UAE #Bahrain #bangladesh #oman #Kuwait #srilanka"
54,"RT @SnapPakistan: 📍Atabad lake from a different perspective

I make an effort to show our beautiful Pakistan in the days of lockdown / isol…","Read to know, how to avoid the virus. Posts and food from China are safe as the virus cannot the journey. #CoronaVirus Up to 24 people in Finland possibly exposed to coronavirus | Yle Uutiset | http://yle.fi",https://m.facebook.com/story.php?story_fbid=632390984009708&amp;id=100017164360009 Here's the bombshell. I deserve special prize for it. @realDonaldTrump has taken notice of $3.7M given during Obama era to Wuhan Institute of Virology wherein the coronavirus was jointly created by the Chinese &amp; American experts. Arrest the criminals.
55,"#Which is the best?

Download now: https://t.co/FCMQPOsQS7
Visit here: https://t.co/ezqd7xIx8C

#Qareebidukan… https://t.co/vJ73VGbnsL",Coronavirus: Returning Britons could remain in quarantine for 14 days | World #Latest #LatestNews http://rviv.ly/Xf5lhG #uncategorized,G-13 should also be watched very closely. Any study or research why cases are increased all of sudden? And what are the reasons for house wives contracting corona virus?
56,"Good Morning to all. ♥️♥️♥️♥️♥️

#coronavirus",Coronavirus: Returning Britons could remain in quarantine for 14 days | World #Latest #LatestNews http://rviv.ly/dkCOsy #uncategorized,Facebook CEO warns coronavirus outbreaks likley after reopenings https://cryptocycle.wordpress.com/2020/04/29/facebook-ceo-warns-coronavirus-outbreaks-likley-after-reopenings/
