,Positive,Neutral,Negative
49,,"Trump calls coronavirus 'hysteria' the Democrats' 'new hoax': https://aol.it/38bW2LV  via @AOL
",
50,,Look at this Shit! Terrorist State  Turkey! #TurkeyIsNotOurFriend #TurkeyIsATerrorState #TURKEY_PROMOTES_TERRORISM #RefugeesWelcome #Refugees #RefugeesWelcome #Coronavirusgermany #coronavirus https://twitter.com/thedukeoriginal/status/1234180006386991106 …,
51,,"What in the fuck is this? No audio, no video. IN THE CORONAVIRUS BRIEFING. https://twitter.com/W7VOA/status/1234976577097629697 …",
52,,"*You're*

#CoronaVirus https://twitter.com/realDonaldTrump/status/1234981396684263424 …",
53,,Directives to be followed by the Clergy dealing with Covid-19 (Coronavirus) - Official Documents - Greek Orthodox Archdiocese of America https://www.goarch.org/-/directives-covid-19 …,
54,,Coronavirus rocks already strained ties between US and China https://www.onlineathens.com/ZZ/news/20200318/coronavirus-rocks-already-strained-ties-between-us-and-china …,
55,,God save Greece! And the whole world... #coronavirus #StayAtHomehttps://twitter.com/GreeceHockey/status/1239294068041158659 …,
56,,Coronavirus rocks already strained ties between US and China https://www.onlineathens.com/ZZ/news/20200318/coronavirus-rocks-already-strained-ties-between-us-and-china …,
57,,Directives to be followed by the Clergy dealing with Covid-19 (Coronavirus) - Official Documents - Greek Orthodox Archdiocese of America https://www.goarch.org/-/directives-covid-19 …,
58,,God save Greece! And the whole world... #coronavirus #StayAtHomehttps://twitter.com/GreeceHockey/status/1239294068041158659 …,
