,Positive,Negative
51,"Heng on #COVID19: ""We must continue to be vigilant and continue to ensure that our responses are adequate as the situation evolves.” It’s like everything he says my brain is just like “ahbuden""",Wuhan virus: Countries with confirmed cases of coronavirus - https://iwan1979.com/post/190429159255/wuhan-virus-countries-with-confirmed-cases-of …
52,Stay safe everyone and take all necessary precautions #COVID19,Bali Kintamani Festival postponed amid coronavirus outbreak https://www.asiaone.com/asia/bali-kintamani-festival-postponed-amid-coronavirus-outbreak?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter&Echobox=1580247468#xtor=CS2-4 …pic.twitter.com/4llJ7GRIy4
53,"""The fact that APEC members came together despite the health scare proved the solidarity and resilience of the region, and was an example of how economies can rise together to shared challenges,"" More: http://bit.ly/39WCUmg #covid19 #MYAPEC2020",Wuhan virus: Australian scientists 'first to grow' new coronavirus outside China https://www.straitstimes.com/asia/australianz/wuhan-virus-australian-scientists-first-to-grow-new-coronavirus-outside-china?utm_term=Autofeed&utm_campaign=sttw&utm_medium=Social&utm_source=Twitter#Echobox=1580254802 …
54,"Online marketplace @Carousell has also initiated a giving campaign, encouraging people to list items they are willing to give away for free amidst #COVID19. Find out how you can contribute to initiatives like this: https://www.ourbetterworld.org/spread-love #OurBetterWorld #SGWholeCommunities",Wuhan virus: Australian scientists 'first to grow' new coronavirus outside China https://www.straitstimes.com/asia/australianz/wuhan-virus-australian-scientists-first-to-grow-new-coronavirus-outside-china?utm_term=Autofeed&utm_campaign=sttw&utm_medium=social&utm_source=Twitter#Echobox=1580254674 …
55,This is true! My nursing colleagues have been cheering up our #COVID19 patients that need to be in their isolation rooms while waiting for their repeat SARS-CoV-2 PCR swabs to be negative. Credit to @NUSMedicine,"President Xi Jinping said China was facing a “grave situation” as the death toll from the coronavirus outbreak jumped to 42, overshadowing celebrations of the Lunar New Year that began on Saturday https://reut.rs/37vx62c "
56,I even brought in COVID19 into the exam paper....... wow,"#WuhanCoronavirus #WuhanVirus #Coronavirus #CoronavirusOutbreak #nCoV2020 #nCoV2019 
WHO declares international emergency over Wuhan viruspic.twitter.com/o2EKWVDx8T"
57,The embassy urged its compatriots to help contain the spread of #COVID19 ,"Singapore, Malaysia clamp down on online falsehoods about coronavirus https://zd.net/2ta9lOm "
58,Our first @doverct staff briefing this morning after a few weeks due to our #COVID19 precautions so a lovely opportunity to present some #resilience awards to colleagues supporting students. #dcissg – at Dover Court International School,"Italian authorities examined samples taken from a Chinese woman ill with a fever, as well as her travelling companion, and both were negative for coronavirus.

https://trib.al/xZRNEWx "
59,On the dog who supposedly tested positive for #COVID19 in #HongKong,WHO declares the coronavirus a “global public health” emergency as U.S. confirms it’s first person-to-person spread.  ⁦@airhen⁩ reports.https://www.wsj.com/articles/coronavirus-triggers-damage-control-from-governments-companies-11580396657 …
60,"Interesting review of what we know (or don't know) about the #pneumonia cases in #Wuhan province. It's neither a  human or avian strain of #influenza nor #Adenovirus. So good chance it's a #Coronavirus.
https://www.statnews.com/2020/01/04/mystery-pneumonia-outbreak-china/ …","#China has halted #travel from #Wuhan, the city of 11 million at the center of a new SARS-like #coronavirus outbreak https://www.bloomberg.com/news/articles/2020-01-22/china-viral-outbreak-triggers-travel-ban-in-city-at-epicenter … via @business"
61,"The World Health Organisation (WHO) confirmed the preliminary discovery of a new coronavirus.

https://trib.al/HkvpxHX ","Wuhan shut down outbound flight and rail posed a problem for people returning hometown for CNY. They may not have transportation out after the holidays, if the coronavirus flu pandemic drags on. https://twitter.com/AP/status/1220070134473162753 …"
62,"Amazed at how fast data about this new Wuhan coronavirus is being discovered and shared! Credit to all those public health officials, clinicians and scientists! https://twitter.com/trvrb/status/1216118434850725888 …",WHO postpones decision on declaring China coronavirus a global health emergency @CNBChttps://www.cnbc.com/2020/01/22/who-postpones-decision-declaring-china-coronavirus-a-global-health-emergency.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter …
63,"Hopefully we see a full genome sequenced from this. Not mentioned any history with the Huanan Seafood Market
Coronavirus-infected Chinese tourist being treated in Thailand https://www.bangkokpost.com/thailand/general/1834789/coronavirus-infected-chinese-tourist-being-treated-in-thailand … via @bangkokpostnews",Chinese New Year is the biggest travel season for many Chinese. Now fears of the coronavirus is making them decide to stay home - WSJ ⁦@littlewern⁩ finds out whyhttps://www.wsj.com/articles/chinese-stick-closer-to-home-over-holiday-as-virus-spreads-11579535232?redirect=amp#click=https://t.co/0TeJbIOBeg …
64,Coronavirus  from China has appeared  in Japan https://twitter.com/QuickTake/status/1217741070643027969 …,J asked me to turn on news abt the wuhan corona virus this morning cos we haven't watched any news video reports yet. And I ended up shouting at the tablet when the market images came on. I am SO ANGRY at these fucking Tiongs but I'm trying not to be... Trying.
65,"China coronavirus: at least three suspected cases found in Shenzhen, Shanghai, sources say | 

#WuhanPneumonia
#Wuhan https://www.scmp.com/news/china/society/article/3046681/china-coronavirus-least-three-suspected-cases-found-shenzhen …","Time to re-watch ""Contagion"" with Matt Damon...First U.S. case of potentially deadly Chinese coronavirus confirmed in Washington state https://www.washingtonpost.com/health/2020/01/21/coronavirus-us-case/ …"
66,News / Wuhan Coronavirus | Faculty of Medicine | Imperial College London http://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/news--wuhan-coronavirus/?from=groupmessage&isappinstalled=0 …,"Interviewed on State of the Nation with Jessica Soho on Monday, Nellan Banda warned Filipinos against “fake” photos and videos that have become viral amid the 2019 novel coronavirus (2019-nCoV) scare that originated in Wuhan.

https://www.gmanetwork.com/news/news/nation/723788/no-bat-soup-people-collapsing-in-wuhan-china-filipina-resident/story/ …"
67,"Wuhan coronavirus sounds trickier than many initially thought

Has spread to Japan through p2p aerial contact to a man who has not visited Wuhan https://twitter.com/suilee/status/1217729717874216961 …","Dow drops 400 points as coronavirus fears rise, travel stocks slide https://www.cnbc.com/2020/01/27/dow-futures-as-coronavirus-cases-rise.html …"
68,US to screen passengers for new China coronavirus at 3 airports https://cna.asia/2R3KXXJ pic.twitter.com/WSvpUGv1N6,#Coronavirus death toll is now 41 after 15 people die in one day in China. https://trib.al/NyTd9no 
