,Positive,Negative
93,"May Allah SWT, give you shifa 
Insha Allah you will be well soon",Apple's iPhone back to growth as company braces for coronavirus impact - https://wire.thearabianpost.com/apples-iphone-back-to-growth-as-company-braces-for-coronavirus-impact-2.aspx …pic.twitter.com/jQJGKGmOfd
94,Guys ready to do everything 😂🔥✅ #INC @INCIndia @INCKerala #Kerala #Covid19 https://t.co/Srgmylh0f8,Apple's iPhone back to growth as company braces for coronavirus impact - https://wire.thearabianpost.com/apples-iphone-back-to-growth-as-company-braces-for-coronavirus-impact.aspx …pic.twitter.com/vJzNxXzqnx
95,RT @Sanath07: My prayers and well wishes to you brother Afridi. Get well soon and continue your good work,How does the coronavirus come from China before my W-2s
96,RT @DailyExcelsior1: Former Pakistan Prime Minister Yousuf Raza Gilani tests positive for #COVID19: (file pic) https://t.co/iGwsJzRLJ6,"realtime coronavirus watch
access

https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6 …"
97,@SAfridiOfficial get well soon !,Coronavirus cases as of 30th January. Source: CNN pic.twitter.com/9LbMTC5DFC
98,"RT @CMShehbaz: My heartfelt prayers &amp; best wishes for your quick recovery. Allah's grace, prayers of the people &amp; determination are key to…","Coronavirus update:
- 9,171 confirmed cases worldwide
- 12,167 suspected cases
- 213 fatalities
- 1,476 in serious/critical condition
- 150 treated and released
- All regions of China reporting cases
- 20 countries reporting cases"
99,get well soon shahid Bhai,"If they bring them back and God forbids the virus spreads here you people will be the first one start cursing the Govt. 
We are unable to eradicate polio 
What will happen if Corona virus spreads in the country???"
100,Get well Soon Lala,"#coronavirus 
beware of appocalypse https://twitter.com/CryptoWhale/status/1220121284085837825 …"
101,"Pakistan cricketer #shahidafridi confirmed positive for #CoronavirusPandemic 

#coronavirusinpakistan",U.S. government urges Americans to reconsider travel to China because of coronavirus - https://wire.thearabianpost.com/u-s-government-urges-americans-to-reconsider-travel-to-china-because-of-coronavirus.aspx …pic.twitter.com/6jR4mUDn0h
102,"RT @ShobhaBJP: Major boost for the use of Indian medicines to treat #Covid19!

Happy to see Tamil #Siddha treatment finding way out for thi…","(1/n) Breaking Bad News

Seems like nCoV/Corona virus have potential of becoming the global pandemic much worse than 1919 Spanish flu where 500 mil got infected and 100 mil died across globe. Those times travel was not so easy and world was not so densely populated."
103,"RT @ElShabazzz: By 100% favorable results he means, favorable for Covid19, not Sheeghr-Patanjali",What’s up with coronavirus
104,Get well soon. You are a champion. Best wishes from India !!!,Maybe just maybe this is a biochemical weapon to decrease the population. #coronavirus
105,RT @DrSaqlainSh: Recovering #COVID19 patients selling blood Plasma in 2-3 lacs is the new low in a morally starved jungle.,"I see you wearing that mask  
U wearing it for the coronavirus shit or?"
106,RT @ggiittiikkaa: Do Namaj 5 times for speedy recovery. Don't go to hospital. Don't take medicines. Those are all Kafir haraam conspiracies…,"God Forbid

I will not know anything about Coronavirus in Jesus name https://twitter.com/Digivilleng/status/1220983774495809538 …"
107,"RT @AsYouNotWish: Praying for your speedy recovery, Lala. You have to live to see how India reclaims POK and Baloch freedom fighters reclai…",I’m in NYC with this coronavirus epidemic and honestly I’ve made my peace to the world....
108,"No wonder why #LNG market is struggling.  Electricity demand, fastest to recover is India whilst #Gas forms lowest… https://t.co/5zF8e1VAK2","Too much bad news on social media. Death of a legend, corona virus. The fuck’s wrong with everything."
109,Get well soon you have served people in the beginning of the panepidemic.,We are not stupid to believe in the official numbers of #coronavirus infected & dead in #China
110,"RT @GTDC_org: ""Distributors were able to quickly work with the vendor community using very established processes that have been in place fo…",It is time to consider #coronavirus a global pandemic. #WHO
111,#ShahidAfridi has been tested positive for #COVID19. #COVID19Pakistan https://t.co/e8tVPhEFPP,All countries must learn from China's delayed response in containing  #coronavirus
112,"RT @Reddychan7: #TsGovtFailedItsPeople 
 
We don't know how many of us are #COVID19 positive, none of us are tested - #GandhiHospital Docto…",UAE confirms 2 new cases of #coronavirus making it a total of 7 infected in the country.
113,RT @arabnews: #WATCH: Popcorn at the ready! @Mouna_ElHaimoud in #Madrid for Arab News as the city's cinemas reopen in #Spain's second phase…,"The number of deaths from China’s new #coronavirus epidemic jumps to 803 after hard-hit Hubei province reported 81 new fatalities.

https://english.alarabiya.net/en/News/world/2020/02/09/China-coronavirus-death-toll-soars-to-803-Official.html …"
