,Positive,Neutral,Negative
73,,"LeBron is the MVP because even though Giannis has better stats on a better team, the most important thing to remember is that LeBron has had to navigate his age, Kobe's death, the NBA-China controversy, coronavirus, 9/11, Pearl Harbor, a Christmas Eve attack on Nakatomi plaza,",Three Babes Bakeshop is estimating a loss of 85% of their expected Pi Day orders as a direct result from the #coronavirus outbreak. (via @eatersf)https://sf.eater.com/2020/3/9/21171962/tech-companies-pie-orders-pi-day …
74,,consider me graduated..?  #coronavirus,Trump either has Coronavirus or a severe case of stupid.
75,,"Ohio health official estimates 100,000 people in state have coronavirus - TheHill https://nzzl.us/kFIyWC0  via @nuzzel thanks @anjiecast",New policy:  block anybody making snarky remarks about the 500K people projected to die from Coronavirus this year in the US.
76,,"How to handle Coronavirus properly. 
https://sf.eater.com/2020/3/11/21175649/plumed-horse-coronavirus-safety-josh-weeks?fbclid=IwAR22Nck-EoNQolEG3GjVLAELio6hiSPnLFXtY7Pa8soeplvYxEeb4BhSY60 …","BREAKING: Moscow news media calls Michigan for Sanders @mikeschaf
""Bernie Sanders and Joe Biden cancel rallies in Cleveland over coronavirus concerns""  https://twitter.com/i/events/1237471153674801152 …"
77,,DOJ Wants to Suspend Certain Constitutional Rights During Coronavirus Emergency https://www.rollingstone.com/politics/politics-news/doj-suspend-constitutional-rights-coronavirus-970935/ … via @RollingStone,"Help take action now! @CalStateEastBay: Close CSUEB, Hayward Campus due to risk of novel coronavirus - Sign the Petition! The health and safety of students, staff, faculty and community surrounding Cal State University, East Bay matters!!! http://chng.it/RHT9J4X9  via @Change"
78,,#centralafrica: Chad takes further action following first confirmed case of coronavirus By AFP https://bit.ly/2J7Z1L3 https://bit.ly/2J7Z1L3 ,Gonna get corona virus just to feel somethin again
79,,"Hopes are high for a coronavirus treatment, which could come much quicker than a vaccine https://apple.news/AqhXiRva7Tl26TH9ZzQVeTA …",Coronavirus fears can be debilitating for people with anxiety disorders - The Washington Post https://www.washingtonpost.com/health/2020/03/11/what-coronavirus-fears-are-doing-people-with-anxiety-disorders/ …
80,,This headline caught my eye and to my surprise my friend @ShirinRajaee did this story! Very important information! #Coronavirus symptoms extend further than respiratory. “Diarrhea may be more commonly seen early on in the presentation of Covid 19.” https://www.ktvu.com/news/gastrointestinal-symptoms-should-be-monitored-amid-coronavirus-outbreak-doctors-say … @KTVU,Damn what if we all just fucking died during the coronavirus outbreak and didnt have to deal with this endless cycle of pain anymore lol
81,,Coronavirus Quarantine day 5: kinda tempted to eat a stick of butter just cuz,Lawmakers fume amid lack of coronavirus testing - CNN https://nzzl.us/m6SWe9P  via @nuzzel thanks @JonathanLanday
82,,"Dear Coronavirus,
Take all ppl who tweet about first letters in names. https://twitter.com/gigitafoyaaa/status/1239720810127872000 …",You know we’re fucked when Mickey Mouse has corona virus.... dear god?!?
83,,"Hopes are high for a coronavirus treatment, which could come much quicker than a vaccine https://apple.news/AqhXiRva7Tl26TH9ZzQVeTA …",Del Rio don’t even disinfect the bowling balls easily spreading the corona virus
84,,This headline caught my eye and to my surprise my friend @ShirinRajaee did this story! Very important information! #Coronavirus symptoms extend further than respiratory. “Diarrhea may be more commonly seen early on in the presentation of Covid 19.” https://www.ktvu.com/news/gastrointestinal-symptoms-should-be-monitored-amid-coronavirus-outbreak-doctors-say … @KTVU,Is it just me or since this whole corona virus thing started happening all my social media has been trippen
85,,Coronavirus Quarantine day 5: kinda tempted to eat a stick of butter just cuz,whoever started the “bat soup” rumor on how Coronavirus started spread that shit quicker than the virus itself.
