,Positive,Neutral,Negative
56,"Do your part and and keep the positive moving. We can all easily work in social distancing, hand washing and mask w… https://t.co/wwFBakEQRC",Apple says coronavirus is screwing up iPhone sales http://bit.ly/38CtvjC pic.twitter.com/QJZ1dddOvJ,"News of the coronavirus spreading further outside China sparked fear in the markets globally. China is the world’s largest consumer of many commodities, including #oil and #copper, which means demand could be hurt in the short-term. http://ow.ly/v71750yddLz pic.twitter.com/Xf8SKIpHXR"
57,"RT @WHOAFRO: Over 222,000 confirmed #COVID19 cases on the African continent - with more than 101,000 recoveries &amp; 6,000 deaths. View countr…",More than sure Neriyah drew the coronavirus.... pic.twitter.com/su63ESmBW6,"Corona Virus, Jussie Smollett Guilty, Roger Stone Sentencing And Call In Show.. https://www.pscp.tv/w/cRM3QjFkclFlTG9rRHpZRWJ8MU1ZeE5rV01uRW9Ldyt6VV31Kkpy5TCpVtxW4tqgNBQW2SmgSihqTViTvd1l …"
58,"RT @IIPP_UCL: What are state holding companies, and how can they help our economies recover from #COVID19? In a new blog, IIPP's @L__Macfar…",you’re coming back with Coronavirus,"Live At 6 PM Central Time.  Corona Virus, Jussie Smollett Guilty, Roger Stone Sentencing And Call In Show..  https://www.youtube.com/watch?v=mxCgsoqtg6I …"
59,"RT @avkwong: Respiratory support in LMICs @arthurkwizera 

Its a challenging environment

#ESICMtv #COVID19 https://t.co/v5Eq4tB6PL",Harvard scientist: coronavirus pandemic likely will infect 40-70% of world this year | TheHill https://thehill.com/changing-america/well-being/prevention-cures/482794-officials-say-the-cdc-is-preparing-for …,#coronavirus KSAT TV reporting that Pct. 4 Cty Commissioner Tommy Calvert wrote Secty of Defense calling for JBSA be decommissioned as quarantine facility IF spread of disease to civilian community can't be stopped.  KSAT also criticizing lack of transparency about who's sick.
60,"RT @FOAMecmo: Trying to optimize respiratory support in Low/Middle Income Countries:
optimize O2 therapy
titrate oxygen to the target
early…",Mexico Confirms First Coronavirus Cases http://ihe.art/wjfFlLQ ,"Fever, cough, runny nose, sore throat and trouble breathing are some of the most common symptoms of the novel coronavirus. http://bit.ly/2UVN9Dd "
61,RT @CDCgov: #Employers: Antibody tests for #COVID19 should not be used to determine if someone can return to work. There is not enough info…,Coronavirus and Energy Demand | SHALE Magazine https://buff.ly/2SOTbnN ,Shocking moment Instagram pranksters spark panic by pretending to spill 'coronavirus' on NY subway train https://www.thesun.co.uk/news/10947817/shocking-moment-instagram-pranksters-pretend-to-spill-coronavirus-on-ny-subway-train-in-outrageously-bad-taste-stunt?utm_source=twitter&utm_medium=social&utm_campaign=sharebarweb …
62,RT @BlueTX2020: @tedcruz Hi @tedcruz you continue to amaze me with how much free time you seem to have while #COVID19 is surging all across…,Trump just named Pence to head Coronavirus response.  WTF is he going to do?  Blame it gays & pray?,Maybe she's getting Corona virus next
63,"RT @jorgeheinel: What will a post-pandemic #world look like? My chapter ""A world ( order) turned upside down"", in the book edited by Gian L…",how does the coronavirus make u feel,Hospital director dies of coronavirus in Wuhan as China designates dead nurses and doctors as 'martyrs' - CNN https://www.cnn.com/2020/02/17/asia/coronavirus-covid-19-update-intl-hnk/index.html …
64,The CDC released a coronavirus patient here in my city just to later realize she was still carrying the virus... and she was shopping at one of the largest malls here in SA over the weekend. How fun. ,There’s like 7 strains under the term “coronavirus”. Only one is the COVID-19,@KatRamsland Hospital director dies of coronavirus in Wuhan as China designates dead nurses and doctors as 'martyrs' - CNN https://www.cnn.com/2020/02/17/asia/coronavirus-covid-19-update-intl-hnk/index.html …
65,"Praying protection and healing over our city,  and other locations concerning the Coronavirus.  As the people of God we cannot submit to fear, but faith.  Trusting God we seek counsel to walk in wisdom, which is why here @cbcsocial we are doing the following:",Be careful with the Coronavirus,Judge Nelson Wolff Raises Concerns About Coronavirus Evacuees Being Sent to San Antonio Hospitals for Testing https://www.sacurrent.com/the-daily/archives/2020/02/18/judge-nelson-wolff-raises-concerns-about-coronavirus-evacuees-being-sent-to-san-antonio-hospitals-for-testing …
